Date,PKR,USD
2013-03-18,98.21846,1.0
2013-03-19,98.30715,1.0
2013-03-20,98.123112,1.0
2013-03-21,98.321047,1.0
2013-03-22,98.229649,1.0
2013-03-23,98.265737,1.0
2013-03-24,98.127827,1.0
2013-03-25,98.569526,1.0
2013-03-26,98.292463,1.0
2013-03-27,98.525952,1.0
2013-03-28,98.392358,1.0
2013-03-29,98.400165,1.0
2013-03-30,98.394773,1.0
2013-03-31,98.391293,1.0
2013-04-01,98.433356,1.0
2013-04-02,98.3486,1.0
2013-04-03,98.354815,1.0
2013-04-04,98.33125,1.0
2013-04-05,98.503164,1.0
2013-04-06,98.560482,1.0
2013-04-07,98.458582,1.0
2013-04-08,98.393674,1.0
2013-04-09,98.342067,1.0
2013-04-10,98.350427,1.0
2013-04-11,98.301487,1.0
2013-04-12,98.218537,1.0
2013-04-13,98.246284,1.0
2013-04-14,98.081544,1.0
2013-04-15,98.282988,1.0
2013-04-16,98.249438,1.0
2013-04-17,98.556297,1.0
2013-04-18,98.436748,1.0
2013-04-19,98.501101,1.0
2013-04-20,98.410089,1.0
2013-04-21,98.419049,1.0
2013-04-22,98.401176,1.0
2013-04-23,98.420616,1.0
2013-04-24,98.402546,1.0
2013-04-25,98.532399,1.0
2013-04-26,98.447676,1.0
2013-04-27,98.508331,1.0
2013-04-28,98.3018,1.0
2013-04-29,98.430901,1.0
2013-04-30,98.320681,1.0
2013-05-01,98.456525,1.0
2013-05-02,98.373032,1.0
2013-05-03,98.400151,1.0
2013-05-04,98.379366,1.0
2013-05-05,98.328686,1.0
2013-05-06,98.388478,1.0
2013-05-07,98.396607,1.0
2013-05-08,98.420702,1.0
2013-05-09,98.695338,1.0
2013-05-10,98.361129,1.0
2013-05-11,98.382299,1.0
2013-05-12,98.418399,1.0
2013-05-13,98.509959,1.0
2013-05-14,98.614119,1.0
2013-05-15,98.437224,1.0
2013-05-16,98.538692,1.0
2013-05-17,98.480812,1.0
2013-05-18,98.478871,1.0
2013-05-19,98.497361,1.0
2013-05-20,98.327242,1.0
2013-05-21,98.312798,1.0
2013-05-22,98.674752,1.0
2013-05-23,98.358899,1.0
2013-05-24,98.445112,1.0
2013-05-25,98.335039,1.0
2013-05-26,98.405889,1.0
2013-05-27,98.432693,1.0
2013-05-28,98.657673,1.0
2013-05-29,98.420574,1.0
2013-05-30,98.537461,1.0
2013-05-31,98.494609,1.0
2013-06-01,98.501223,1.0
2013-06-02,98.508263,1.0
2013-06-03,98.007782,1.0
2013-06-04,97.715346,1.0
2013-06-05,98.323843,1.0
2013-06-06,98.307572,1.0
2013-06-07,98.480471,1.0
2013-06-08,98.344314,1.0
2013-06-09,98.626694,1.0
2013-06-10,98.621434,1.0
2013-06-11,98.521584,1.0
2013-06-12,98.425672,1.0
2013-06-13,98.353782,1.0
2013-06-14,98.488482,1.0
2013-06-15,98.51064,1.0
2013-06-16,98.45864,1.0
2013-06-17,98.491472,1.0
2013-06-18,98.57343,1.0
2013-06-19,98.592663,1.0
2013-06-20,98.740766,1.0
2013-06-21,98.934484,1.0
2013-06-22,98.930863,1.0
2013-06-23,99.120623,1.0
2013-06-24,99.110524,1.0
2013-06-25,99.123587,1.0
2013-06-26,98.93614,1.0
2013-06-27,98.939281,1.0
2013-06-28,99.290507,1.0
2013-06-29,99.439084,1.0
2013-06-30,99.599534,1.0
2013-07-01,99.592163,1.0
2013-07-02,99.752381,1.0
2013-07-03,99.95569,1.0
2013-07-04,100.31847,1.0
2013-07-05,99.969081,1.0
2013-07-06,100.062114,1.0
